TranscriptID	XBE1	XBC1	XBE2	XBC2	XSE2	XSC2	XTE2	XTC2
GTX0536PRED_000067-T1	0	0.008	0	0.014	0	0	0.039	0.015
GTX0536PRED_000068-T1	5.187	5.097	6.526	4.76	2.502	2.915	3.641	2.634
GTX0536PRED_000069-T1	6.447	2.15	11.625	2.287	0	0	2.678	7.44
GTX0536PRED_000070-T1	6.139	4.18	3.186	2.058	1.093	2.164	2.603	2.577
GTX0536PRED_000071-T1	45.43	51.434	38.376	31.289	0	0	19.685	16.004
GTX0536PRED_000072-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000073-T1	3.757	2.249	1.783	2.322	0.777	0.576	1.788	1.93
GTX0536PRED_000074-T1	0.603	0.276	0.597	0.638	0.225	0.224	0.554	0.425
GTX0536PRED_000075-T1	2.558	2.363	3.723	2.109	0.528	0.427	2.68	2.174
GTX0536PRED_000076-T1	0.304	0.056	0.056	0	0	0	0.163	0.054
GTX0536PRED_000076-T2	0.046	0.206	0.111	0.097	0.032	0	0.118	0.039
GTX0536PRED_000077-T1	0	0.035	0.017	0.03	0.221	0.182	0.085	0.067
GTX0536PRED_000077-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000077-T3	0	0	0.057	0	0	0	0	0
GTX0536PRED_000078-T1	0.068	0.1	0.025	0.043	0.023	0.024	0	0
GTX0536PRED_000079-T1	1.103	1.176	0.865	0.83	1.558	1.086	0.806	0.734
GTX0536PRED_000080-T1	0.376	0.423	0.386	0.388	0	0	0.318	0.445
GTX0536PRED_000081-T1	2.698	2.04	2.047	2.091	2.27	3.053	2.857	1.992
GTX0536PRED_000082-T1	25.56	28.831	28.749	16.488	6.899	7.904	29.283	20.24
GTX0536PRED_000083-T1	0.957	0.835	0.79	0.652	0.186	0.15	1.62	0.953
GTX0536PRED_000084-T1	0.693	0.949	0.941	0.769	0.17	0.178	0.855	0.708
GTX0536PRED_000085-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000086-T1	3.416	2.603	3.495	2.433	0.019	0	2.398	1.486
GTX0536PRED_000087-T1	0	0	0	0	0.044	0.092	0.57	0.508
GTX0536PRED_000088-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000089-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000090-T1	0	0	0.028	0	0.017	0	0	0
GTX0536PRED_000091-T1	1.96	1.251	0.939	1.061	0.225	0.296	1.28	1.37
GTX0536PRED_000092-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000093-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000094-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000094-T2	0.415	0.32	0	0.116	0	0	0.311	0.087
GTX0536PRED_000095-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000096-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000097-T1	1.151	0.691	0.462	0.617	0.157	0.035	1.105	0.184
GTX0536PRED_000097-T2	0.439	0.73	0.945	0.238	0.046	0.051	0.196	0.687
GTX0536PRED_000098-T1	1.154	1.154	1.243	0.613	0	0	1.069	1.844
GTX0536PRED_000099-T1	0.544	0.03	0	0.025	0.027	0	0	0.057
GTX0536PRED_000100-T1	0	0	0.589	0	0	0	0	0
GTX0536PRED_000101-T1	0.302	0.491	0.191	0.433	0	0.015	0	0.106
GTX0536PRED_000102-T1	1.398	1.719	1.297	0.894	1.85	3.94	0.288	0.781
GTX0536PRED_000103-T1	1.538	1.341	1.821	1.073	1.043	1.195	1.632	1.955
GTX0536PRED_000104-T1	0.786	1.517	1.175	0.591	0.538	0.737	1.285	1.15
GTX0536PRED_000104-T2	0.673	0	0	0.212	0	0	0	0
GTX0536PRED_000105-T1	2.763	2.074	2.533	2.065	0.982	1.053	1.524	1.729
GTX0536PRED_000106-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000107-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000107-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000108-T1	2.112	2.146	2.067	2.198	0.784	0.965	2.471	1.594
GTX0536PRED_000109-T1	3.708	3.979	4.178	3.932	0.24	0.202	7.207	3.449
GTX0536PRED_000110-T1	4.919	5.896	5.888	4.378	2.829	3.081	4.563	3.363
GTX0536PRED_000111-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000112-T1	1.234	1.329	1.685	1.329	1.063	0.559	1.094	0.788
GTX0536PRED_000113-T1	3.139	3.992	4.419	3.439	5.609	6.759	2.868	2.855
GTX0536PRED_000114-T1	2.889	2.316	3.638	2.766	1.41	1.936	2.481	1.966
GTX0536PRED_000115-T1	12.368	21.883	18.591	14.975	8.385	9.503	18.151	16.664
GTX0536PRED_000116-T1	12.889	11.376	10.332	6.198	5.548	6.294	8.566	8.629
GTX0536PRED_000117-T1	0.143	0	0	0.064	0	0	0.075	0.134
GTX0536PRED_000117-T2	0.65	0.475	0.882	0.506	0.409	0.415	0.654	0.536
GTX0536PRED_000118-T1	0.158	0.039	0.019	0.091	0.017	0.037	0.038	0.139
GTX0536PRED_000119-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000120-T1	0.098	0.102	0.098	0.125	0.015	0.049	0.095	0.052
GTX0536PRED_000121-T1	7.217	7.628	10.557	8.794	0	0	4.506	5.171
GTX0536PRED_000122-T1	2.386	2.817	1.868	2.1	0.314	0.211	2.116	1.039
GTX0536PRED_000123-T1	0.62	0.7	0.574	0.371	0	0	0.36	0.407
GTX0536PRED_000124-T1	0	0	0	0	4.68	5.051	0	0
GTX0536PRED_000125-T1	2.294	1.982	2.089	1.127	0.488	0.475	1.799	0.824
GTX0536PRED_000126-T1	1.244	0.878	0.802	1.055	0.698	0.759	0.706	1.085
GTX0536PRED_000127-T1	0.755	0.67	1.07	1.075	0.067	0.02	0.635	0.777
GTX0536PRED_000128-T1	6.753	7.928	8.448	6.422	0.073	0	6.084	5.039
GTX0536PRED_000129-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000129-T2	2.218	1.965	5.221	5.756	1.317	1.289	2.218	2.111
GTX0536PRED_000130-T1	6.855	7.022	7.542	6.868	0	0	4.591	4.004
GTX0536PRED_000130-T2	0	0	0	0	1.69	1.883	0	0
GTX0536PRED_000131-T1	0.889	0.8	0.804	0.608	0	0	0.335	0.512
GTX0536PRED_000132-T1	1.874	2.158	1.902	1.916	0.164	0.172	2.054	1.777
GTX0536PRED_000133-T1	213.074	239.359	224.055	148.096	71.844	76.749	288.457	176.095
GTX0536PRED_000134-T1	1.353	1.071	1.198	1.117	0.442	0.404	0.994	0.5
GTX0536PRED_000135-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000136-T1	0.573	0.575	0.577	0.459	0	0	0.344	0.391
GTX0536PRED_000137-T1	1.883	3.444	3.243	2.885	1.097	1.252	2.728	2.893
GTX0536PRED_000138-T1	3.282	3.291	3.219	2.787	1.51	3.277	4.46	2.21
GTX0536PRED_000139-T1	2.501	2.112	2.396	2.508	0.558	0.85	1.832	1.571
GTX0536PRED_000140-T1	0.483	0.517	0.8	0.788	0.202	0.213	0.505	0.295
GTX0536PRED_000140-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000141-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000142-T1	0	0	0	0	0	0	0	0
